id,title,artist,top genre,year,energy,danceability,liveness,acousticness,speechiness,pop
207,Give It 2 U,Robin Thicke,dance pop,2013,83,67,16,10,7,41
208,Foolish Games,Jewel,alaska indie,2013,34,51,12,23,3,36
209,Outta Nowhere (feat. Danny Mercer),Pitbull,dance pop,2013,84,71,21,16,3,35
210,Freak,Kelly Rowland,atl hip hop,2013,78,65,12,13,6,28
211,All of Me,John Legend,neo mellow,2014,26,42,13,92,3,86
212,Stay With Me,Sam Smith,pop,2014,42,42,11,59,4,85
213,Summer,Calvin Harris,dance pop,2014,86,60,14,2,3,80
214,"Happy - From ""Despicable Me 2""",Pharrell Williams,dance pop,2014,82,65,9,22,18,79
215,Rude,MAGIC!,pop,2014,76,77,31,4,4,79
216,Shake It Off,Taylor Swift,pop,2014,80,65,33,6,17,78
217,Dark Horse,Katy Perry,dance pop,2014,59,65,17,0,5,78
218,Hey Brother,Avicii,big room,2014,78,55,8,3,4,78
219,Maps,Maroon 5,pop,2014,71,74,6,2,3,78
220,Treasure,Bruno Mars,pop,2014,69,87,32,4,4,77
221,Let Her Go,Passenger,folk-pop,2014,54,51,10,39,6,77
222,Problem,Ariana Grande,dance pop,2014,81,66,16,2,15,75
223,Pompeii,Bastille,metropopolis,2014,72,68,27,8,4,73
224,Team,Lorde,art pop,2014,58,69,31,17,9,73
225,Love Me Again,John Newman,pop,2014,89,50,10,0,4,73
226,Latch,Disclosure,house,2014,73,50,9,2,17,72
227,Adore You,Miley Cyrus,dance pop,2014,66,58,11,11,3,72
228,Love Never Felt So Good,Michael Jackson,pop,2014,72,78,7,13,4,71
229,Burn,Ellie Goulding,dance pop,2014,78,56,11,31,4,71
230,She Looks So Perfect,5 Seconds of Summer,boy band,2014,95,49,33,0,13,71
231,Fancy,Iggy Azalea,australian hip hop,2014,72,91,5,9,7,70
232,Talk Dirty (feat. 2 Chainz),Jason Derulo,dance pop,2014,65,76,31,3,23,68
233,Gorilla,Bruno Mars,pop,2014,54,72,10,45,4,68
234,human,Christina Perri,dance pop,2014,49,44,11,13,4,68
235,Young Girls,Bruno Mars,pop,2014,75,56,21,46,3,67
236,Wiggle (feat. Snoop Dogg),Jason Derulo,dance pop,2014,62,70,16,8,25,67
237,Love Runs Out,OneRepublic,dance pop,2014,93,72,8,17,6,66
238,This Is How We Do,Katy Perry,dance pop,2014,64,69,15,2,5,66
239,Mmm Yeah (feat. Pitbull),Austin Mahone,dance pop,2014,92,71,27,0,4,65
240,A Little Party Never Killed Nobody (All We Got),Fergie,dance pop,2014,62,76,9,1,18,65
241,#SELFIE,The Chainsmokers,electropop,2014,92,79,8,1,25,65
242,Partition,Beyoncé,dance pop,2014,44,41,31,3,29,65
243,Birthday,Katy Perry,dance pop,2014,67,72,11,9,7,65
244,G.U.Y.,Lady Gaga,dance pop,2014,92,62,12,1,4,65
245,Stay The Night - Featuring Hayley Williams Of Paramore,Zedd,complextro,2014,74,60,9,11,4,64
246,"Let It Go - From ""Frozen / Single Version",Demi Lovato,dance pop,2014,66,50,27,3,4,63
247,Wings,Birdy,neo mellow,2014,71,47,16,8,3,62
248,Can't Remember to Forget You (feat. Rihanna),Shakira,colombian pop,2014,81,69,14,12,7,62
249,Shot Me Down (feat. Skylar Grey) - Radio Edit,David Guetta,dance pop,2014,77,35,12,6,5,61
250,Say Something,A Great Big World,neo mellow,2014,15,45,9,87,3,61
251,A Sky Full of Stars,Coldplay,permanent wave,2014,68,55,21,1,3,60
252,Come Get It Bae,Pharrell Williams,dance pop,2014,80,93,10,27,8,59
253,Chandelier,Sia,australian dance,2014,78,29,7,2,7,56
254,XO,Beyoncé,dance pop,2014,79,47,31,17,26,56
255,We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song],Pitbull,dance pop,2014,94,60,10,0,7,56
256,Not About Angels,Birdy,neo mellow,2014,14,41,9,97,4,56
257,Drunk in Love,Beyoncé,dance pop,2014,62,59,18,1,5,52
258,Anaconda,Nicki Minaj,dance pop,2014,60,96,21,7,18,50
259,Boom Clap - From the Motion Picture Das Schicksal ist ein mieser Verräter,Charli XCX,candy pop,2014,81,68,34,7,6,50
260,La La La (Brasil 2014) (feat. Carlinhos Brown),Shakira,colombian pop,2014,82,80,35,18,4,50
261,Tee Shirt - Soundtrack Version,Birdy,neo mellow,2014,34,68,9,84,3,49
262,Words as Weapons,Birdy,neo mellow,2014,35,53,14,28,3,44
263,You're Mine (Eternal),Mariah Carey,dance pop,2014,58,63,38,28,7,38
264,Sheezus,Lily Allen,dance pop,2014,50,78,11,15,4,37
265,Cannonball,Lea Michele,hollywood,2014,82,56,19,2,5,37
266,It's On Again - Main Soundtrack,Alicia Keys,hip pop,2014,54,64,25,10,11,30
267,I Luh Ya Papi,Jennifer Lopez,dance pop,2014,73,74,12,45,42,28
268,Not a Bad Thing,Justin Timberlake,dance pop,2014,73,59,38,27,6,0
269,Thinking out Loud,Ed Sheeran,pop,2015,45,78,18,47,3,84
270,I'm Not The Only One,Sam Smith,pop,2015,49,68,8,53,4,84
271,The Hills,The Weeknd,canadian contemporary r&b,2015,56,58,14,7,5,84
272,Love Yourself,Justin Bieber,canadian pop,2015,38,61,28,84,44,83
273,Uptown Funk,Mark Ronson,dance pop,2015,61,86,3,1,8,82
274,Take Me To Church,Hozier,irish singer-songwriter,2015,66,57,12,63,5,81
275,Sugar,Maroon 5,pop,2015,79,75,9,6,3,81
276,Sorry,Justin Bieber,canadian pop,2015,76,65,30,8,5,81
277,FourFiveSeconds,Rihanna,barbadian pop,2015,27,58,13,88,5,80
278,"Love Me Like You Do - From ""Fifty Shades Of Grey""",Ellie Goulding,dance pop,2015,61,26,13,25,5,79
279,"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack",The Weeknd,canadian contemporary r&b,2015,38,66,10,39,3,79
280,What Do You Mean?,Justin Bieber,canadian pop,2015,57,85,8,59,10,79
281,Stitches,Shawn Mendes,canadian pop,2015,75,75,5,2,7,78
282,Want to Want Me,Jason Derulo,dance pop,2015,68,78,11,1,6,77
283,My House,Flo Rida,dance pop,2015,70,69,13,2,5,77
284,Waves - Robin Schulz Radio Edit,Mr. Probz,tropical house,2015,51,83,8,1,4,77
285,Night Changes,One Direction,boy band,2015,52,67,12,86,4,77
286,How Deep Is Your Love,Calvin Harris,dance pop,2015,87,74,39,4,7,77
287,Never Forget You,Zara Larsson,dance pop,2015,73,58,27,0,5,77
288,Love Me Harder,Ariana Grande,dance pop,2015,71,47,8,1,3,76
289,Animals,Maroon 5,pop,2015,74,28,59,0,9,76
290,Blame,Calvin Harris,dance pop,2015,86,41,34,3,8,76
291,Worth It,Fifth Harmony,dance pop,2015,77,88,12,6,9,75
292,Break Free,Ariana Grande,dance pop,2015,70,69,20,1,5,75
293,Don't,Ed Sheeran,pop,2015,61,81,64,1,7,74
294,Elastic Heart,Sia,australian dance,2015,79,42,15,1,5,73
295,Rather Be (feat. Jess Glynne),Clean Bandit,dance pop,2015,59,80,19,16,4,73
296,Hello,Adele,british soul,2015,45,48,9,34,3,73
297,Dear Future Husband,Meghan Trainor,dance pop,2015,78,66,32,38,19,72
298,43776,Beyoncé,dance pop,2015,71,75,13,1,13,72
299,The Heart Wants What It Wants,Selena Gomez,dance pop,2015,79,62,14,5,4,72
300,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",David Guetta,dance pop,2015,73,60,33,24,15,72
301,Genie In a Bottle,Christina Aguilera,dance pop,2015,80,63,14,21,16,72
302,Company,Justin Bieber,canadian pop,2015,80,59,8,13,6,72
303,Sing,Ed Sheeran,pop,2015,67,82,6,30,5,71
304,Jealous - Remix,Nick Jonas,dance pop,2015,71,68,44,1,8,70
305,Really Don't Care,Demi Lovato,dance pop,2015,73,71,19,12,9,70
306,"Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)",Macklemore & Ryan Lewis,dance pop,2015,61,83,29,9,7,70
307,Only Love Can Hurt Like This,Paloma Faith,british soul,2015,89,57,33,10,8,69
308,Heartbeat Song,Kelly Clarkson,dance pop,2015,80,49,6,1,5,69
309,Up,Olly Murs,dance pop,2015,85,69,10,2,3,69
310,Trumpets,Jason Derulo,dance pop,2015,70,63,10,56,24,69
311,Runnin' (Lose It All),Naughty Boy,tropical house,2015,85,32,48,1,8,69
312,Same Old Love,Selena Gomez,dance pop,2015,59,67,21,2,3,69
313,I Want You To Know,Zedd,complextro,2015,85,58,14,1,6,68
314,Lips Are Movin,Meghan Trainor,dance pop,2015,83,78,11,5,5,68
315,I'll Show You,Justin Bieber,canadian pop,2015,61,36,18,5,10,68
316,Here,Alessia Cara,canadian contemporary r&b,2015,82,38,8,8,10,68
317,I Lived,OneRepublic,dance pop,2015,85,59,27,7,4,67
318,Fireball (feat. John Ryan),Pitbull,dance pop,2015,94,69,5,9,6,67
319,Easy Love,Sigala,dance pop,2015,94,68,12,18,6,67
320,The Feeling,Justin Bieber,canadian pop,2015,81,53,10,8,6,67
321,I Really Like You,Carly Rae Jepsen,canadian pop,2015,81,62,22,1,4,66
322,BO$$,Fifth Harmony,dance pop,2015,87,81,5,1,11,66
323,Sugar,Maroon 5,pop,2015,79,75,9,6,3,66
324,Focus,Ariana Grande,dance pop,2015,88,67,44,27,24,66
325,All About That Bass,Meghan Trainor,dance pop,2015,88,81,11,5,5,65
326,On My Mind,Ellie Goulding,dance pop,2015,71,70,9,26,5,65
327,Love Me Like You,Little Mix,dance pop,2015,67,79,28,21,4,65
328,Broken Arrows,Avicii,big room,2015,67,63,10,5,5,65
329,Booty,Jennifer Lopez,dance pop,2015,95,71,26,0,5,64
330,What Do You Mean? - Acoustic,Justin Bieber,canadian pop,2015,36,77,10,79,4,64
331,Mark My Words,Justin Bieber,canadian pop,2015,26,38,17,88,3,63
332,Lay It All on Me,Rudimental,dance pop,2015,75,67,19,14,4,62
333,American Oxygen,Rihanna,barbadian pop,2015,75,39,33,5,9,61
334,Bang Bang,Jessie J,australian pop,2015,75,71,38,27,9,61
335,Reality - Radio Edit,Lost Frequencies,belgian edm,2015,70,71,7,2,3,61
336,Alive,Sia,australian dance,2015,76,51,11,25,5,61
337,Sugar (feat. Francesco Yates),Robin Schulz,dance pop,2015,82,64,16,2,6,60
338,Been You,Justin Bieber,canadian pop,2015,78,74,32,2,7,60
339,Prayer in C - Robin Schulz Radio Edit,Lilly Wood and The Prick,french indie pop,2015,89,76,62,2,3,58
340,See You Again (feat. Charlie Puth),Wiz Khalifa,hip hop,2015,48,69,6,37,8,56
341,Heroes (we could be),Alesso,big room,2015,75,52,24,4,6,56
342,"Feel The Light - From The ""Home"" Soundtrack",Jennifer Lopez,dance pop,2015,60,47,9,33,5,55
343,Perfect,One Direction,boy band,2015,82,65,12,6,8,55
344,Ghosttown,Madonna,dance pop,2015,55,54,12,4,4,54
345,Bang My Head (feat. Sia & Fetty Wap),David Guetta,dance pop,2015,87,60,10,5,8,54
346,Bloodstream,Ed Sheeran,pop,2015,59,48,6,20,5,52
347,Living For Love,Madonna,dance pop,2015,79,67,25,4,9,52
348,Baby Don't Lie,Gwen Stefani,dance pop,2015,55,69,10,1,3,52
349,Don't Be so Hard on Yourself,Jess Glynne,dance pop,2015,82,57,16,6,3,52
350,Steal My Girl,One Direction,boy band,2015,76,47,14,0,4,51
